full_filename,owner_name,group_name,mode,type,prot_permissions,size_bytes,size_error
/var/assetguard-manager/queue/sockets,assetguard-manager,assetguard-manager,770,directory,drwxrwx---,,
/var/assetguard-manager/queue/tasks,assetguard-manager,assetguard-manager,770,directory,drwxrwx---,,
/var/assetguard-manager/queue/tzdb,assetguard-manager,assetguard-manager,750,directory,drwxr-x---,,
/var/assetguard-manager/queue/vd,assetguard-manager,assetguard-manager,770,directory,drwxrwx---,,
/var/assetguard-manager/tmp,root,assetguard-manager,1770,directory,drwxrwx--T,,
/var/assetguard-manager/tmp/vd_1.0.0_vd_4.13.0.tar.xz,assetguard-manager,assetguard-manager,640,file,-rw-r-----,,
/var/assetguard-manager/var,root,assetguard-manager,750,directory,drwxr-x---,,
/var/assetguard-manager/var/db,root,assetguard-manager,770,directory,drwxrwx---,,
/var/assetguard-manager/var/db/mitre.db,root,assetguard-manager,660,file,-rw-rw----,,
/var/assetguard-manager/var/download,root,assetguard-manager,770,directory,drwxrwx---,,
/var/assetguard-manager/var/multigroups,assetguard-manager,assetguard-manager,770,directory,drwxrwx---,,
/var/assetguard-manager/var/run,root,assetguard-manager,770,directory,drwxrwx---,,
/var/assetguard-manager/var/selinux,root,assetguard-manager,770,directory,drwxrwx---,,
/var/assetguard-manager/var/selinux/assetguard.pp,root,assetguard-manager,640,file,-rw-r-----,,
/var/assetguard-manager/var/upgrade,root,assetguard-manager,770,directory,drwxrwx---,,
